anuncio/propriedade,tipo,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
Apartamento  T2 -  Jardim e Piscina -  Novo empreendimento na Praça do,Apartamento,AREEIRO,LISBOA,LISBOA,77.0,1900
Apartamento T3 todo renovado c/garagem na Av. de Londres em Guimarães,Apartamento,OLIVEIRA,GUIMARAES,BRAGA,130.0,1460
Apartamento T1 - Boavista c/piscina e lugar garagem,Apartamento,CEDOFEITA,PORTO,PORTO,74.0,1400
"Apartamento T2 com terraço e garagem no Lumiar, Lisboa",Apartamento,LUMIAR,LISBOA,LISBOA,117.0,1950
Apartamento T4 Duplex no Centro Histórico de Braga,Apartamento,BRAGA,BRAGA,BRAGA,254.0,6000
"Arrendamento T3, Olaias",Apartamento,AREEIRO,LISBOA,LISBOA,92.0,2100
"Apartamento T3 Arrendamento em Parque das Nações,Lisboa",Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,2500
Apartamento T3 R/C elevado - Rua Passos Manuel / Arroios,Apartamento,ARROIOS,LISBOA,LISBOA,95.0,1990
T1 Terraço Equipado Mobilado Estação Metro Trindade Despesas Incluídas,Apartamento,CEDOFEITA,PORTO,PORTO,50.0,1200
Apartamento T3 pronto a habitar c/varanda - Urbanização d...,Apartamento,CARCAVELOS,CASCAIS,LISBOA,126.0,1700
Apartamento T3 para arrendamento,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,105.0,2800
"Apartamento T3 com terraço e box para 3 carros - Canidelo, Gaia",Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,152.0,2000
"Excelente Apartamento T2 na Alapraia, São João Do Estoril",Apartamento,CASCAIS,CASCAIS,LISBOA,55.0,1500
"Arrenda-se T2 mobilado, Constituição - Porto",Apartamento,PARANHOS,PORTO,PORTO,110.0,1350
"Arrendo Apartamento T.3 de Luxo em Stª Clara – Parceiros, Leiria.",Apartamento,PARCEIROS,PARCEIROS,LEIRIA,140.0,980
T1 em Telheiras Mobilado e Boa Area - Entrada Marzo,Apartamento,CARNIDE,LISBOA,LISBOA,70.0,1250
APARTAMENTO T2 – URB. MILHEIRAS – ZONA NORTE ALMEIRIM,Apartamento,ALMEIRIM,ALMEIRIM,SANTAREM,113.0,800
T1 para Arrendamento Ajuda,Apartamento,AJUDA,AJUDA,LISBOA,50.0,850
1º. andar de MORADIA,Moradia,CARVALHAL,SERTA,CASTELO BRANCO,55.0,500
Apartamento T1 para arrendamento,Apartamento,FARO,FARO ,FARO,50.14,750
Apartamento T2 para alugar,Apartamento,FATIMA,OUREM,SANTAREM,60.0,600
"Luminoso apartamento T2, em Miraflores, com vista para o Tejo",Apartamento,ALGES,OEIRAS,LISBOA,85.0,1950
Andar de moradia T3 remodelado com garagem e terraço,Moradia,RAMALDE,PORTO,PORTO,84.0,1600
Moradia T3 com espaço exterior. Pinheiro de Loures (Fonte Santa),Moradia,LOURES,LOURES,LISBOA,115.0,1800
Apartamento T3 para arrendar em Alvalade,Apartamento,ALVALADE,LISBOA,LISBOA,65.0,1800
Moradia T2 Batalha,Moradia,BATALHA,BATALHA,LEIRIA,80.0,500
Arrendar Apartamento Corroios,Apartamento,CORROIOS,SEIXAL,SETUBAL,90.0,1100
Apartamento T2 centro da Trofa,Apartamento,BOUGADO,TROFA,PORTO,80.0,600
T3 para alugar na Moita,Apartamento,SEIXAL,ARRENTELA,SETUBAL,110.0,1100
"T1 Renovado - Coração Histórico do Porto, Luz & Conforto",Apartamento,CEDOFEITA,PORTO,PORTO,50.0,1170
Arrendo Apartamento T1 Centro Torres Vedras,Apartamento,TORRES VEDRAS,SANTIAGO,LISBOA,43.0,500
Apartamento T6 na Lapa mobilado e equipado,Apartamento,ESTRELA,LISBOA,LISBOA,500.0,28000
Apartamento T5+1 para arrendar condomínio privado na Estrela,Apartamento,ESTRELA,LISBOA,LISBOA,636.34,28000
Moradia com vista total para o oceano atlântico,Moradia,OEIRAS,OEIRAS,LISBOA,293.0,25000
ARRENDAMENTO APARTAMENTO T3+1// COM 2 PARQUEAMENTOS//ARRECADAÇÃO,Apartamento,ALCABIDECHE,CASCAIS,LISBOA,157.0,3200
T3  Renovado | Suite | 2 WC | Varanda | Centro Histórico Cascais | Jun,Apartamento,CASCAIS,CASCAIS,LISBOA,85.0,2900
"Duplex T3 remodelado, com cozinha equipada e ar condicionado",Apartamento,CASCAIS,CASCAIS,LISBOA,108.0,1850
Apartamento T1 Aviz,Apartamento,ALDOAR,PORTO,PORTO,74.0,1250
Arrenda Apartamento T2+1 a 300 metros do Metro Marques no Porto.,Apartamento,CEDOFEITA,PORTO,PORTO,84.0,1100
"Apartamento T3 no Condomínio Benfica Stadium, Lisboa",Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,145.0,2700
T5 Duplex para Arrendamento em Condomínio Fechado no Pinheiro Manso,Apartamento,RAMALDE,PORTO,PORTO,225.0,3500
T4 - Torres da Bela Vista - Santo Antonio Cavaleiros,Apartamento,SANTO ANTONIO DOS CAVALEIROS,LOURES,LISBOA,91.0,1800
"Apartamento T2 no Condomínio Benfica Stadium, Lisboa",Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,116.0,2200
T3 mobilado na Av. Liberdade em Braga,Apartamento,BRAGA,BRAGA ,BRAGA,114.0,1000
"Moradia T2 em Folques, Arganil",Moradia,FOLQUES,ARGANIL,COIMBRA,176.0,500
Excelente Apartamento para arrendamento em Santa Clara!,Apartamento,PARCEIROS,PARCEIROS,LEIRIA,125.0,1400
Moradia T8 para arrendamento,Moradia,CARCAVELOS,CASCAIS,LISBOA,511.0,17500
Apartamento T2 no Edifício Varandas de São João,Apartamento,PEDROUCOS,MAIA,PORTO,117.0,1200
Para arrendamento - Penthouse T3 Nova com vista mar e box - Montenegro,Apartamento,MONTENEGRO,MONTENEGRO,FARO,122.0,2500
"Apartamento T3 para Arrendamento, canidelo, garagem Individual 2 ca...",Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,124.0,1700
Moradia T4 em Alcabideche - Casa Mobilada e Equipada,Moradia,ALCABIDECHE,CASCAIS,LISBOA,150.0,2400
T3 em condomínio de Luxo - Arrendamento anual,Apartamento,PORTIMAO,PORTIMAO,FARO,101.0,2250
"Apartamento T2 em condomínio fechado no centro do Porto, junto ao metr",Apartamento,PARANHOS,PORTO,PORTO,121.0,1800
T2 totalmente remodelado em Campolide,Apartamento,CAMPOLIDE,LISBOA,LISBOA,71.0,1600
Alugar apartamentos,Apartamento,ARROIOS,LISBOA,LISBOA,55.0,1200
T2 Caxias com arrecadação,Apartamento,OEIRAS,OEIRAS,LISBOA,73.0,1300
Arrenda-se Casa próximo do Castelo de Ourém.,Moradia,NOSSA SENHORA MISERICORDIAS,OUREM,SANTAREM,103.0,600
Arrenda se apartamento T1 com garagem no Bom  Sucesso -,Apartamento,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,60.0,760
Arrenda-se apartamento t2 Setúbal,Apartamento,SETUBAL,NOSSA SENHORA DA ANUNCIADA,SETUBAL,95.0,920
Arrenda-se T2 renovado na Costa da Caparica perto da praia,Apartamento,COSTA DA CAPARICA,ALMADA,SETUBAL,100.0,1200
"Arrendo t1 Rua Faria Guimaraes, Porto centro",Apartamento,CIDADE DA MAIA,MAIA,PORTO,47.0,850
Arrendo t2 c garagem centro Maia,Apartamento,CIDADE DA MAIA,MAIA,PORTO,95.0,1000
Arrenda-se T2 Sete Rios,Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,60.0,1250
Apartamento T2 para arrendamento,Apartamento,ESPOSENDE,MARINHAS,BRAGA,70.0,600
T2 remodelado junto ao Califa,Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,80.0,1300
Magnificent House in Porto,Moradia,CEDOFEITA,PORTO,PORTO,160.0,2800
T2 na estrada principal da charneca de caparica,Apartamento,CHARNECA DE CAPARICA,ALMADA,SETUBAL,5000.0,1250
Excelente Moradia V5 Isolada com Piscina e Jardim em Cascais,Moradia,ALCABIDECHE,CASCAIS,LISBOA,500.0,25000
Moradia T5+1 com jardim e piscina na Quinta da Marinha Sul,Moradia,CASCAIS,CASCAIS,LISBOA,495.0,25000
Apartamento T3 mobilado no Último Piso com Terraço e Vistas Deslumb...,Apartamento,MAFAMUDE,VILA NOVA DE GAIA,PORTO,130.0,2200
Moradia T2 mais 1 Nova em Setúbal com sótão e área externa,Moradia,SETUBAL,NOSSA SENHORA DA ANUNCIADA,SETUBAL,135.0,1750
"Moradia T4 Banda, Arrendamento c/elevador, Fraião - Braga",Moradia,NOGUEIRA,BRAGA,BRAGA,216.0,2500
Apartamento T3 para arrendamento,Apartamento,SANTO ANTONIO,LISBOA,LISBOA,89.0,2700
Arrendamento de moradia em Santo Estevão - Benavente | Piscina e terre,Moradia,SANTO ESTEVAO,BENAVENTE,SANTAREM,325.0,4500
T2 com sótão - Bairro Norton de Matos,Apartamento,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,119.0,1500
Apartamento T2 para arrendamento,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,128.0,4200
T4 no Cacém - junto ao mercado e Loja do cidadão,Apartamento,CACEM,SINTRA,LISBOA,186.0,1700
Apartamento T2 no Aviz,Apartamento,ALDOAR,PORTO,PORTO,130.5,1700
Moradia geminada com vista a Lagoa Foz do Arelho,Moradia,FOZ DO ARELHO,CALDAS DA RAINHA,LEIRIA,144.0,2000
"Apartamento T3, novo, com garagem e varanda no Porto",Apartamento,PARANHOS,PORTO,PORTO,114.8,1950
Apartamento T3 Foz do Douro,Apartamento,ALDOAR,PORTO,PORTO,160.0,4000
"Casa de Campo em Arraiolos, Évora para arrendamento",Moradia,ARRAIOLOS,ARRAIOLOS,EVORA,388.0,4000
"Apartamento T2 para arrendamento, na Riviera Poveira.",Apartamento,AVER-O-MAR,AMORIM,PORTO,88.0,1100
"Apartamento T3, mobilado, com Varanda na zona de Paranhos.",Apartamento,PARANHOS,PORTO,PORTO,121.0,1600
Apartamento T3 para arrendamento,Apartamento,ALGES,OEIRAS,LISBOA,100.0,3200
"Apart T2 Cascais, S. Domingos de Rana",Apartamento,SAO DOMINGOS DE RANA,CASCAIS,LISBOA,110.0,1750
T1 COSTA CAPARICA 9”andar Excelente Vista Mar,Apartamento,COSTA DA CAPARICA,ALMADA,SETUBAL,50.0,820
"Moradia, 4 quartos, Lisboa, Restelo Estádio",Moradia,BELEM,LISBOA,LISBOA,752.0,20000
"Apartamento T2 em Lisboa de 75,00 m2",Apartamento,RAMADA,ODIVELAS,LISBOA,75.0,1800
Moradia a estrear na Portela da Azóia,Moradia,SANTA IRIA DE AZOIA,LOURES,LISBOA,217.0,2500
"Apartamento T3, mobilado, com garagem, excelente localização, Évora",Apartamento,SE,SANTA MARIA,BRAGANCA,112.0,1200
Arrenda-se T3 junto Av. de Roma,Apartamento,ALVALADE,LISBOA,LISBOA,90.0,2200
Apartamento T2 Arrendamento Vila Franca de Xira,Apartamento,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,75.0,925
Apartamento T2 Arrendamento Loures,Apartamento,MOSCAVIDE,LOURES,LISBOA,72.0,1200
"T5 no Areeiro, c/ garagem (remodelado p/ arquiteto)",Apartamento,AREEIRO,LISBOA,LISBOA,145.0,2195
Apartamento T2 Arrendamento Lisboa,Apartamento,CARNIDE,LISBOA,LISBOA,70.0,1200
Apartamento T1 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,55.0,1400
Apartamento T1 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,90.0,1450
Apartamento T2 equipado na Coferpor,Apartamento,SAO JOAO BAPTISTA,ENTRONCAMENTO,SANTAREM,80.0,600
Apartamento T1 Arrendamento Lisboa,Apartamento,SANTO ANTONIO,LISBOA,LISBOA,50.0,1500
Apartamento T1 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,78.09,1495
Apartamento T2 Arrendamento Alcochete,Apartamento,ALCOCHETE,ALCOCHETE,SETUBAL,105.0,1500
Fantástico apartamento T3 novo no centro da cidade de Aveiro,Apartamento,GLORIA,AVEIRO,AVEIRO,104.2,1650
Apartamento T3 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,1500
Moradia T4 + 1 na Biscaia,Moradia,CASCAIS,CASCAIS,LISBOA,200.0,6000
Apartamento T2 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,65.0,1600
Apartamento T2 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,95.0,1600
Apartamento T2 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,80.0,1650
Apartamento T4 Arrendamento Lisboa,Apartamento,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,110.0,1950
Apartamento T4 Duplex Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,150.0,3300
Apartamento T4 Arrendamento Lisboa,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,198.0,4500
Aluga se T2 Av da República,Apartamento,MAFAMUDE,VILA NOVA DE GAIA,PORTO,105.0,1000
Apartamento T2 para arrendamento,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,75.0,1900
Apartamento T2 para arrendamento,Apartamento,LORDELO DO OURO,PORTO,PORTO,107.2,1750
"Apartamento T1+1 com vista deslumbrante, em Tróia, Carvalhal. Em Arren",Apartamento,CARVALHAL,GRANDOLA,SETUBAL,64.0,1250
Apartamento T5 para arrendamento,Apartamento,ALVALADE,LISBOA,LISBOA,164.7,2900
Moradia T5 - Bairro dos Músicos - Pinheiro Manso,Moradia,LORDELO DO OURO,PORTO,PORTO,185.0,2600
Apartamento T4 NOVO no Condomínio Oriente,Apartamento,MOSCAVIDE,LOURES,LISBOA,224.0,4900
Apartamento T1 na Rua Castilho com vista para a cidade,Apartamento,SANTO ANTONIO,LISBOA,LISBOA,74.0,4000
"T5 em Primeiro Andar de Moradia em Seixo de Gatões, Montemor-o-Velho",Moradia,SEIXO DE GATOES,MONTEMOR-O-VELHO,COIMBRA,140.0,750
Apartamento T4 para arrendamento,Apartamento,MISERICORDIA,LISBOA,LISBOA,219.0,8500
"T2 (2 suites), DUPLEX, mobilado, à beira do rio Tejo, remodelado, pert",Apartamento,ALCOCHETE,ALCOCHETE,SETUBAL,161.0,2500
Andar Moradia T5 p/ arrendamento em Gondizalves,Moradia,FERREIROS,FERREIROS,BRAGA,193.0,1800
"Apartamento T3 sem móveis, novo a estrear, inserido em co...",Apartamento,CASCAIS,CASCAIS,LISBOA,357.0,20000
Moradia de luxo na Biscaia - Cascais,Moradia,ALCABIDECHE,CASCAIS,LISBOA,520.0,20000
Moradia para arrendamento | Av. Almirante Gago Coutinho,Moradia,ALVALADE,LISBOA,LISBOA,775.0,20000
Apartamento T3 para arrendamento,Apartamento,CASCAIS,CASCAIS,LISBOA,305.0,20000
"Apartamento duplex T5, em condomínio com piscina, no Estoril",Apartamento,CASCAIS,CASCAIS,LISBOA,311.0,20000
"Moradia T5 sem móveis no centro histórico de Cascais, cla...",Moradia,CASCAIS,CASCAIS,LISBOA,250.0,8000
T3 de Luxo condomínio fechado,Apartamento,VILA DO CONDE,VILA DO CONDE,PORTO,105.0,2000
"Excelente moradia na Av. Condes de Barcelona, no coração ...",Moradia,CASCAIS,CASCAIS,LISBOA,784.0,19800
"Apartamento T1 sem móveis, totalmente remodelado no Centr...",Apartamento,CASCAIS,CASCAIS,LISBOA,96.0,2000
Apartamento T3+1 no Atlântico Residence,Apartamento,CASCAIS,CASCAIS,LISBOA,268.0,16900
T1+1 c/boa exposição solar | PRÉ-RESERVADO,Apartamento,VILA NOVA DE FAMALICAO,VILA NOVA DE FAMALICAO,BRAGA,90.0,675
Apartamento T1 com Vista Desafogada e Muita Luminosidade - Excelente L,Apartamento,MAFAMUDE,VILA NOVA DE GAIA,PORTO,68.0,1100
Apartamento T2 Arrendamento Aveiro > Glória e Vera Cruz,Apartamento,GLORIA,AVEIRO,AVEIRO,86.0,1000
Apartamento T1 Kitchenett em Lordelo do Ouro,Apartamento,LORDELO DO OURO,PORTO,PORTO,35.0,1100
"Apartamento T2 – FLOWER TOWER, Leça da Palmeira",Apartamento,MATOSINHOS,MATOSINHOS,PORTO,77.0,1600
Moradia T4 + 1 em Santiago do Cacém - Relvas Verdes para arrendamento,Moradia,SANTIAGO DO CACEM,SANTA CRUZ,SETUBAL,218.0,3900
"Apartamento T2 duplex, junto ao Arco da Porta Nova em Braga.",Apartamento,SEQUEIRA,SEQUEIRA,BRAGA,97.0,1650
T3 CHARME PORTO - DISPONÍVEL A PARTIR DE SETEMBRO DE 2024,Apartamento,CEDOFEITA,PORTO,PORTO,129.0,2450
T4 duplex no Campo Pequeno com varandas e lareira,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,200.0,4200
"Apartamento T3 na quinta das Patinhas, Cascais",Apartamento,CASCAIS,CASCAIS,LISBOA,100.0,2900
"T2, mobilado e equipado, à Praça 8 de Maio, Coimbra. Semestral.",Apartamento,COIMBRA,SANTA CRUZ,COIMBRA,60.0,750
Apartamento T3 Parque das Nações,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,120.0,3000
"REF3188 T1 Com 2 Varandas - Metro 24 de Agosto, Bonfim",Apartamento,BONFIM,BONFIM,PORTO,65.0,850
"Moradia T5 com jardim e piscina na Quinta Patino, Estoril",Moradia,ALCABIDECHE,CASCAIS,LISBOA,547.0,19000
Apartamento T2- Edifício Bordalo Residences,Apartamento,SANTO ANTONIO,LISBOA,LISBOA,105.0,3480
T3 ARRENDAMENTO em TAVAREDE,Apartamento,TAVAREDE,FIGUEIRA DA FOZ,COIMBRA,100.0,800
Moradia Luxo na Quinta do Patino,Moradia,ALCABIDECHE,CASCAIS,LISBOA,590.0,18000
"Moradia T7 no condomínio Quinta Patino, Cascais",Moradia,ALCABIDECHE,CASCAIS,LISBOA,474.0,18000
Moradia na Quinta da Penha Longa,Moradia,SINTRA,SINTRA,LISBOA,430.0,18000
Moradia T4 para arrendamento,Moradia,OEIRAS,OEIRAS,LISBOA,476.0,17500
Moradia T8 NO CENTRO DA PAREDE A 1KM DA PRAIA,Moradia,CARCAVELOS,CASCAIS,LISBOA,422.0,17500
"Fantástico apartamento T1 duplex sem móveis, em condomíni...",Apartamento,CASCAIS,CASCAIS,LISBOA,98.0,1450
Apartamento T4+1 no Estoril Residence,Apartamento,CASCAIS,CASCAIS,LISBOA,280.0,16000
Moradia T5 para arrendamento,Moradia,SINTRA,SINTRA,LISBOA,430.0,16000
T3 Qta S Sebastião,Apartamento,LUMIAR,LISBOA,LISBOA,197.0,3500
Arrendamento,Apartamento,FATIMA,OUREM,SANTAREM,12.0,400
Apartamento T4 no centro histórico de Cascais com vista Mar,Apartamento,CASCAIS,CASCAIS,LISBOA,137.0,3500
"T5 no centro Sem Fiador, mobilado.",Apartamento,CEDOFEITA,PORTO,PORTO,135.0,1600
Apartamento T5 no Edifício Gemini nas Avenidas Novas,Apartamento,AVENIDAS NOVAS,LISBOA,LISBOA,150.0,2600
T2 Top mesmo nos Aliados! Mobilado SEM FIADOR,Apartamento,CEDOFEITA,PORTO,PORTO,65.0,1000
"Arrendamento de Moradia T4 Totalmente Mobilada em São Cosme, Gondom...",Moradia,GONDOMAR,VALBOM,PORTO,200.0,2500
T5 Duplex e Terraço na Rua dos Bragas SEM FIADOR,Apartamento,CEDOFEITA,PORTO,PORTO,130.0,1600
"Apartamento T4+3 com móveis, inserido em condomínio priva...",Apartamento,ALCABIDECHE,CASCAIS,LISBOA,310.0,12000
T1 Matosinhos Sul,Apartamento,MATOSINHOS,MATOSINHOS,PORTO,70.0,1200
T3 centro cidade remodelado,Apartamento,OLIVEIRA,GUIMARAES,BRAGA,120.0,775
"REF3122 T2 Como Novo Mobilado & Equipado, Metro Combatentes, Paranhos",Apartamento,PARANHOS,PORTO,PORTO,72.0,1300
"Apartamento T2 Arrendamento em Ovar, São João, Arada e São Vicente de",Apartamento,OVAR,SAO JOAO,AVEIRO,91.3,675
Apartamento T1 Mobilado  com Lugar de Garagem - Boavista,Apartamento,RAMALDE,PORTO,PORTO,100.0,1450
T2 Arrendar - Cabra Figa em Rio de Mouro,Apartamento,RIO DE MOURO,SINTRA,LISBOA,90.0,900
Alugo Apartamento T3 Vizela,Apartamento,CALDAS DE VIZELA,VIZELA,BRAGA,93.0,800
Alugo T3 Montijo,Apartamento,MONTIJO,MONTIJO,SETUBAL,105.0,1300
Apartamento T5 | Arrendamento | Renovado | Boavista | Garagem | Arrumo,Apartamento,LORDELO DO OURO,PORTO,PORTO,230.0,3000
Apartamento T2 em Alvalade,Apartamento,ALVALADE,LISBOA,LISBOA,100.0,1600
2 Quartos para arrendar,Apartamento,AGUAS LIVRES,AMADORA,LISBOA,90.0,450
"Loft T2 em Lisboa de 286,00 m2",Apartamento,MARVILA,LISBOA,LISBOA,286.0,6900
Moradia T1 à Estação de Rio Tinto,Moradia,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,50.0,700
"Moradia em Carreira, Leiria",Moradia,MONTE REDONDO,MONTE REDONDO,LEIRIA,60.0,800
"Apartamento T5 para arrendamento no Edifício Infinity, em...",Apartamento,CAMPOLIDE,LISBOA,LISBOA,274.0,15000
Moradia T6 de Luxo na Quinta da Beloura,Moradia,SINTRA,SINTRA,LISBOA,847.0,15000
Moradia T6 para arrendamento,Moradia,CASCAIS,CASCAIS,LISBOA,521.0,15000
Moradia Unifamiliar ainda em fase de remodelação na Lapa.,Moradia,ESTRELA,LISBOA,LISBOA,456.0,15000
"Moradia de luxo para arrendamento na Rua da Arriaga com jardim, elevad",Moradia,ESTRELA,LISBOA,LISBOA,670.0,15000
Moradia T4 na Costa da Guia em Cascais,Moradia,CASCAIS,CASCAIS,LISBOA,206.0,15000
Moradia T6 para arrendamento no centro do Estoril,Moradia,CASCAIS,CASCAIS,LISBOA,340.0,15000
Apartamento T4 de luxo no Estoril Sol,Apartamento,CASCAIS,CASCAIS,LISBOA,190.0,15000
Moradia Isolada T4+1 - Cascais.,Moradia,CASCAIS,CASCAIS,LISBOA,210.0,15000
Excelente Moradia V5 Isolada Com Piscina e Jardim em Cascais,Moradia,ALCABIDECHE,CASCAIS,LISBOA,383.0,15000
"Para Arrendar | Moradia T6 | Estoril, Cascais",Moradia,CASCAIS,CASCAIS,LISBOA,330.0,15000
"Moradia Geminada, em condomínio fechado, com vista mar - ...",Moradia,CARCAVELOS,CASCAIS,LISBOA,298.0,15000
"SEM FIADOR. Ao metro Marquês, mobilado e equipado",Apartamento,PARANHOS,PORTO,PORTO,40.0,850
T1 ao metro Mobilado SEM FIADOR,Apartamento,CEDOFEITA,PORTO,PORTO,55.0,900
T2 Aceita animal doméstico. Ao metro com elevador,Apartamento,CEDOFEITA,PORTO,PORTO,75.0,1200
"Apartamento T2 Arrendamento em São João Baptista,Entroncamento",Apartamento,SAO JOAO BAPTISTA,ENTRONCAMENTO,SANTAREM,87.0,650
Para Arrendamento - Moradia de 4 Pisos na Portela de Sintra,Moradia,SINTRA,SINTRA,LISBOA,168.0,2100
Apartamento T2 para arrendamento,Apartamento,ARROIOS,LISBOA,LISBOA,120.0,4900
Apartamento T3 para arrendamento,Apartamento,LORDELO DO OURO,PORTO,PORTO,151.9,2100
MORADIA T4 de 3 frentes – Garagem 2 carros – Terraço e jardim - Leça d,Moradia,MATOSINHOS,MATOSINHOS,PORTO,272.0,3500
"Apartamento T1Kit,  no empreendimento Asprela Urban, junto ao Hospital",Apartamento,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,58.0,950
Apartamento T0+1 no Centro de Matosinhos - Arrendamento,Apartamento,MATOSINHOS,MATOSINHOS,PORTO,55.3,1295
Apartamento T3 para arrendamento,Apartamento,CEDOFEITA,PORTO,PORTO,160.0,2900
"Apartamento T2 novo, localizado na zona histórica de Aveiro",Apartamento,GLORIA,AVEIRO,AVEIRO,80.0,1250
Apartamento T3 para arrendamento,Apartamento,CARNIDE,LISBOA,LISBOA,92.0,1750
Apartamento T0 novo no Centro de Aveiro,Apartamento,GLORIA,AVEIRO,AVEIRO,31.0,700
"Apartamento T1 para arrendar, localizado no centro da cidade de Aveiro",Apartamento,GLORIA,AVEIRO,AVEIRO,50.3,800
Apartamento T1 localizado no centro da cidade de Aveiro,Apartamento,GLORIA,AVEIRO,AVEIRO,56.8,825
"Apartamento T1+1 com marquise e lugar de garagem, na Rua da Bélgica em",Apartamento,CANIDELO,VILA NOVA DE GAIA,PORTO,60.0,900
T1.  S.Martinho de Antas,Apartamento,ANDRAES,ANDRAES,VILA REAL,40.0,300
Arrenda T1 em Aveiro (Glicínia),Moradia,ARADAS,ARADAS,AVEIRO,70.0,600
"Apartamento na Avenida do Brasil 154, São Marcos, Cacém",Apartamento,CACEM,SINTRA,LISBOA,90.0,1000
Apartamento T1 | Novo | Varanda | L. Garagem | Asprela | P.Univ.,Apartamento,PARANHOS,PORTO,PORTO,44.9,900
Apartamento T2 semi-mobilado,Apartamento,FARO,FARO ,FARO,85.0,1200
T2 Ericeira com Suite.Garagem.Vista mar,Apartamento,ERICEIRA,MAFRA,LISBOA,112.0,1790
Apartamento T2 mobilado na Marginal da Figueira da Foz [c...,Apartamento,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,83.0,800
"T2 totalmente mobilado, junto do metro, comércio e escolas",Moradia,RIO TINTO,GONDOMAR,PORTO,60.0,780
Arrendo T1 Condomínio Antas Atrium mobilado e decorado,Apartamento,CAMPANHA,CAMPANHA,PORTO,50.0,1500
Arrendo T2 Condomínio Antas Atrium mobilado e decorado,Apartamento,CAMPANHA,CAMPANHA,PORTO,85.0,2400
Moradia T6+1 para arrendamento junto ao Golf do Estoril,Moradia,CASCAIS,CASCAIS,LISBOA,310.0,15000
Apartamento Oriente para Arendar,Apartamento,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500
Moradia T5 para arrendamento com jardim e piscina no Estoril,Moradia,CASCAIS,CASCAIS,LISBOA,346.54,15000
Apartamento T1 duplex mobilado,Apartamento,ESGUEIRA,ESGUEIRA,AVEIRO,89.0,675
"Casa / Villa T6 em Lisboa de 670,00 m2",Moradia,ESTRELA,LISBOA,LISBOA,670.0,15000
T1 Baixa Porto despesas incluidas,Apartamento,CEDOFEITA,PORTO,PORTO,40.0,1000
"Casa T5 em Lisboa de 890,00 m2",Moradia,BELEM,LISBOA,LISBOA,890.0,15000
"Apartamento T3 , semi mobilado",Apartamento,RAMADA,ODIVELAS,LISBOA,120.0,1300
Moradia T10 com jardim situada no Restelo,Moradia,BELEM,LISBOA,LISBOA,720.0,15000
T3 Mobilado - São Domingos,Apartamento,SANTAREM,SANTAREM,SANTAREM,90.0,1500
"Moradia, 55 m², Alcântara",Moradia,ALCANTARA,LISBOA,LISBOA,55.0,950
"Moradia Isolada T4 - Quinta da Pedra, Guia",Moradia,CASCAIS,CASCAIS,LISBOA,206.0,15000
T1+1 Duplex Hospital São João,Apartamento,CUSTOIAS,LECA DO BALIO,PORTO,72.0,950
"Ericeira - Apt T2 com piscina, vista mar e garagem",Apartamento,ERICEIRA,MAFRA,LISBOA,100.0,1390
"Apartamento T0 Arrendamento em Matosinhos e Leça da Palmeira,Matosinho",Apartamento,MATOSINHOS,MATOSINHOS,PORTO,43.0,900
"Arrendamento de Apartamento T1 novo, Cedofeita, Bairro das Artes.",Apartamento,CEDOFEITA,PORTO,PORTO,30.0,950
Apartamento T0 para arrendamento,Apartamento,BONFIM,BONFIM,PORTO,38.0,1000
