anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
"Arrenda-se T2 mobilado, Constituição - Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,110.0,1350
T1 em Telheiras Mobilado e Boa Area - Entrada Marzo,Apartamento,110611,CARNIDE,LISBOA,LISBOA,70.0,1250
APARTAMENTO T2 – URB. MILHEIRAS – ZONA NORTE ALMEIRIM,Apartamento,140301,ALMEIRIM,ALMEIRIM,SANTAREM,113.0,800
1º. andar de MORADIA,Moradia,50902,CARVALHAL,SERTA,CASTELO BRANCO,55.0,500
Apartamento T2 para alugar,Apartamento,142106,FATIMA,OUREM,SANTAREM,60.0,600
"Luminoso apartamento T2, em Miraflores, com vista para o Tejo",Apartamento,111012,ALGES,OEIRAS,LISBOA,85.0,1950
Andar de moradia T3 remodelado com garagem e terraço,Moradia,131211,RAMALDE,PORTO,PORTO,84.0,1600
Moradia T3 com espaço exterior. Pinheiro de Loures (Fonte Santa),Moradia,110707,LOURES,LOURES,LISBOA,115.0,1800
Apartamento T3 para arrendar em Alvalade,Apartamento,110654,ALVALADE,LISBOA,LISBOA,65.0,1800
Moradia T2 Batalha,Moradia,100401,BATALHA,BATALHA,LEIRIA,80.0,500
Arrendar Apartamento Corroios,Apartamento,151005,CORROIOS,SEIXAL,SETUBAL,90.0,1100
Apartamento T2 centro da Trofa,Apartamento,131810,BOUGADO,TROFA,PORTO,80.0,600
"T1 Renovado - Coração Histórico do Porto, Luz & Conforto",Apartamento,131217,CEDOFEITA,PORTO,PORTO,50.0,1170
Apartamento T6 na Lapa mobilado e equipado,Apartamento,110660,ESTRELA,LISBOA,LISBOA,500.0,28000
Apartamento T5+1 para arrendar condomínio privado na Estrela,Apartamento,110660,ESTRELA,LISBOA,LISBOA,636.34,28000
Moradia com vista total para o oceano atlântico,Moradia,111014,OEIRAS,OEIRAS,LISBOA,293.0,25000
ARRENDAMENTO APARTAMENTO T3+1// COM 2 PARQUEAMENTOS//ARRECADAÇÃO,Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,157.0,3200
T3  Renovado | Suite | 2 WC | Varanda | Centro Histórico Cascais | Jun,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,85.0,2900
"Duplex T3 remodelado, com cozinha equipada e ar condicionado",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,108.0,1850
Apartamento T1 Aviz,Apartamento,131216,ALDOAR,PORTO,PORTO,74.0,1250
Arrenda Apartamento T2+1 a 300 metros do Metro Marques no Porto.,Apartamento,131217,CEDOFEITA,PORTO,PORTO,84.0,1100
"Apartamento T3 no Condomínio Benfica Stadium, Lisboa",Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,145.0,2700
T5 Duplex para Arrendamento em Condomínio Fechado no Pinheiro Manso,Apartamento,131211,RAMALDE,PORTO,PORTO,225.0,3500
T4 - Torres da Bela Vista - Santo Antonio Cavaleiros,Apartamento,110730,SANTO ANTONIO DOS CAVALEIROS,LOURES,LISBOA,91.0,1800
"Apartamento T2 no Condomínio Benfica Stadium, Lisboa",Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,116.0,2200
"Moradia T2 em Folques, Arganil",Moradia,60109,FOLQUES,ARGANIL,COIMBRA,176.0,500
Moradia T8 para arrendamento,Moradia,110507,CARCAVELOS,CASCAIS,LISBOA,511.0,17500
Apartamento T2 no Edifício Varandas de São João,Apartamento,130617,PEDROUCOS,MAIA,PORTO,117.0,1200
"Apartamento T3 para Arrendamento, canidelo, garagem Individual 2 ca...",Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,124.0,1700
Moradia T4 em Alcabideche - Casa Mobilada e Equipada,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,150.0,2400
T3 em condomínio de Luxo - Arrendamento anual,Apartamento,81103,PORTIMAO,PORTIMAO,FARO,101.0,2250
"Apartamento T2 em condomínio fechado no centro do Porto, junto ao metr",Apartamento,131210,PARANHOS,PORTO,PORTO,121.0,1800
T2 totalmente remodelado em Campolide,Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,71.0,1600
Alugar apartamentos,Apartamento,110656,ARROIOS,LISBOA,LISBOA,55.0,1200
T2 Caxias com arrecadação,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,73.0,1300
Arrenda se apartamento T1 com garagem no Bom  Sucesso -,Apartamento,111413,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,60.0,760
Arrenda-se T2 renovado na Costa da Caparica perto da praia,Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,100.0,1200
"Arrendo t1 Rua Faria Guimaraes, Porto centro",Apartamento,130619,CIDADE DA MAIA,MAIA,PORTO,47.0,850
Arrendo t2 c garagem centro Maia,Apartamento,130619,CIDADE DA MAIA,MAIA,PORTO,95.0,1000
Arrenda-se T2 Sete Rios,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,60.0,1250
T2 remodelado junto ao Califa,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,80.0,1300
Magnificent House in Porto,Moradia,131217,CEDOFEITA,PORTO,PORTO,160.0,2800
T2 na estrada principal da charneca de caparica,Apartamento,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,5000.0,1250
Excelente Moradia V5 Isolada com Piscina e Jardim em Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,500.0,25000
Moradia T5+1 com jardim e piscina na Quinta da Marinha Sul,Moradia,110508,CASCAIS,CASCAIS,LISBOA,495.0,25000
Apartamento T3 mobilado no Último Piso com Terraço e Vistas Deslumb...,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,130.0,2200
"Moradia T4 Banda, Arrendamento c/elevador, Fraião - Braga",Moradia,30377,NOGUEIRA,BRAGA,BRAGA,216.0,2500
Apartamento T3 para arrendamento,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,89.0,2700
Arrendamento de moradia em Santo Estevão - Benavente | Piscina e terre,Moradia,140503,SANTO ESTEVAO,BENAVENTE,SANTAREM,325.0,4500
T2 com sótão - Bairro Norton de Matos,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,119.0,1500
Apartamento T2 para arrendamento,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,128.0,4200
T4 no Cacém - junto ao mercado e Loja do cidadão,Apartamento,111124,CACEM,SINTRA,LISBOA,186.0,1700
Apartamento T2 no Aviz,Apartamento,131216,ALDOAR,PORTO,PORTO,130.5,1700
Moradia geminada com vista a Lagoa Foz do Arelho,Moradia,100606,FOZ DO ARELHO,CALDAS DA RAINHA,LEIRIA,144.0,2000
"Apartamento T3, novo, com garagem e varanda no Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,114.8,1950
Apartamento T3 Foz do Douro,Apartamento,131216,ALDOAR,PORTO,PORTO,160.0,4000
"Casa de Campo em Arraiolos, Évora para arrendamento",Moradia,70201,ARRAIOLOS,ARRAIOLOS,EVORA,388.0,4000
"Apartamento T3, mobilado, com Varanda na zona de Paranhos.",Apartamento,131210,PARANHOS,PORTO,PORTO,121.0,1600
Apartamento T3 para arrendamento,Apartamento,111012,ALGES,OEIRAS,LISBOA,100.0,3200
"Apart T2 Cascais, S. Domingos de Rana",Apartamento,110506,SAO DOMINGOS DE RANA,CASCAIS,LISBOA,110.0,1750
T1 COSTA CAPARICA 9”andar Excelente Vista Mar,Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,50.0,820
"Moradia, 4 quartos, Lisboa, Restelo Estádio",Moradia,110658,BELEM,LISBOA,LISBOA,752.0,20000
"Apartamento T2 em Lisboa de 75,00 m2",Apartamento,111610,RAMADA,ODIVELAS,LISBOA,75.0,1800
Moradia a estrear na Portela da Azóia,Moradia,110728,SANTA IRIA DE AZOIA,LOURES,LISBOA,217.0,2500
Arrenda-se T3 junto Av. de Roma,Apartamento,110654,ALVALADE,LISBOA,LISBOA,90.0,2200
Apartamento T2 Arrendamento Vila Franca de Xira,Apartamento,111413,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,75.0,925
Apartamento T2 Arrendamento Loures,Apartamento,110726,MOSCAVIDE,LOURES,LISBOA,72.0,1200
"T5 no Areeiro, c/ garagem (remodelado p/ arquiteto)",Apartamento,110655,AREEIRO,LISBOA,LISBOA,145.0,2195
Apartamento T2 Arrendamento Lisboa,Apartamento,110611,CARNIDE,LISBOA,LISBOA,70.0,1200
Apartamento T1 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,55.0,1400
Apartamento T1 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,90.0,1450
Apartamento T2 equipado na Coferpor,Apartamento,141001,SAO JOAO BAPTISTA,ENTRONCAMENTO,SANTAREM,80.0,600
Apartamento T1 Arrendamento Lisboa,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,50.0,1500
Apartamento T1 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,78.09,1495
Apartamento T2 Arrendamento Alcochete,Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,105.0,1500
Fantástico apartamento T3 novo no centro da cidade de Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,104.2,1650
Apartamento T3 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,105.0,1500
Moradia T4 + 1 na Biscaia,Moradia,110508,CASCAIS,CASCAIS,LISBOA,200.0,6000
Apartamento T2 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,65.0,1600
Apartamento T2 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,95.0,1600
Apartamento T2 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,80.0,1650
Apartamento T4 Arrendamento Lisboa,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,110.0,1950
Apartamento T4 Duplex Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,150.0,3300
Apartamento T4 Arrendamento Lisboa,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,198.0,4500
Aluga se T2 Av da República,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,105.0,1000
Apartamento T2 para arrendamento,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,75.0,1900
Apartamento T2 para arrendamento,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,107.2,1750
"Apartamento T1+1 com vista deslumbrante, em Tróia, Carvalhal. Em Arren",Apartamento,150505,CARVALHAL,GRANDOLA,SETUBAL,64.0,1250
Apartamento T5 para arrendamento,Apartamento,110654,ALVALADE,LISBOA,LISBOA,164.7,2900
Moradia T5 - Bairro dos Músicos - Pinheiro Manso,Moradia,131218,LORDELO DO OURO,PORTO,PORTO,185.0,2600
Apartamento T4 NOVO no Condomínio Oriente,Apartamento,110726,MOSCAVIDE,LOURES,LISBOA,224.0,4900
Apartamento T1 na Rua Castilho com vista para a cidade,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,74.0,4000
"T5 em Primeiro Andar de Moradia em Seixo de Gatões, Montemor-o-Velho",Moradia,61010,SEIXO DE GATOES,MONTEMOR-O-VELHO,COIMBRA,140.0,750
Apartamento T4 para arrendamento,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,219.0,8500
"T2 (2 suites), DUPLEX, mobilado, à beira do rio Tejo, remodelado, pert",Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,161.0,2500
"Apartamento T3 sem móveis, novo a estrear, inserido em co...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,357.0,20000
Moradia de luxo na Biscaia - Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,520.0,20000
Moradia para arrendamento | Av. Almirante Gago Coutinho,Moradia,110654,ALVALADE,LISBOA,LISBOA,775.0,20000
Apartamento T3 para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,305.0,20000
"Apartamento duplex T5, em condomínio com piscina, no Estoril",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,311.0,20000
"Moradia T5 sem móveis no centro histórico de Cascais, cla...",Moradia,110508,CASCAIS,CASCAIS,LISBOA,250.0,8000
T3 de Luxo condomínio fechado,Apartamento,131628,VILA DO CONDE,VILA DO CONDE,PORTO,105.0,2000
"Excelente moradia na Av. Condes de Barcelona, no coração ...",Moradia,110508,CASCAIS,CASCAIS,LISBOA,784.0,19800
"Apartamento T1 sem móveis, totalmente remodelado no Centr...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,96.0,2000
Apartamento T3+1 no Atlântico Residence,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,268.0,16900
T1+1 c/boa exposição solar | PRÉ-RESERVADO,Apartamento,31260,VILA NOVA DE FAMALICAO,VILA NOVA DE FAMALICAO,BRAGA,90.0,675
Apartamento T1 com Vista Desafogada e Muita Luminosidade - Excelente L,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,68.0,1100
Apartamento T2 Arrendamento Aveiro > Glória e Vera Cruz,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,86.0,1000
Apartamento T1 Kitchenett em Lordelo do Ouro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,35.0,1100
"Apartamento T2 – FLOWER TOWER, Leça da Palmeira",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,77.0,1600
T3 CHARME PORTO - DISPONÍVEL A PARTIR DE SETEMBRO DE 2024,Apartamento,131217,CEDOFEITA,PORTO,PORTO,129.0,2450
T4 duplex no Campo Pequeno com varandas e lareira,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,200.0,4200
"Apartamento T3 na quinta das Patinhas, Cascais",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,100.0,2900
Apartamento T3 Parque das Nações,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,120.0,3000
"Moradia T5 com jardim e piscina na Quinta Patino, Estoril",Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,547.0,19000
Apartamento T2- Edifício Bordalo Residences,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,105.0,3480
T3 ARRENDAMENTO em TAVAREDE,Apartamento,60512,TAVAREDE,FIGUEIRA DA FOZ,COIMBRA,100.0,800
Moradia Luxo na Quinta do Patino,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,590.0,18000
"Moradia T7 no condomínio Quinta Patino, Cascais",Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,474.0,18000
Moradia na Quinta da Penha Longa,Moradia,111128,SINTRA,SINTRA,LISBOA,430.0,18000
Moradia T4 para arrendamento,Moradia,111014,OEIRAS,OEIRAS,LISBOA,476.0,17500
Moradia T8 NO CENTRO DA PAREDE A 1KM DA PRAIA,Moradia,110507,CARCAVELOS,CASCAIS,LISBOA,422.0,17500
"Fantástico apartamento T1 duplex sem móveis, em condomíni...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,98.0,1450
Apartamento T4+1 no Estoril Residence,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,280.0,16000
Moradia T5 para arrendamento,Moradia,111128,SINTRA,SINTRA,LISBOA,430.0,16000
T3 Qta S Sebastião,Apartamento,110618,LUMIAR,LISBOA,LISBOA,197.0,3500
Arrendamento,Apartamento,142106,FATIMA,OUREM,SANTAREM,12.0,400
Apartamento T4 no centro histórico de Cascais com vista Mar,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,137.0,3500
"T5 no centro Sem Fiador, mobilado.",Apartamento,131217,CEDOFEITA,PORTO,PORTO,135.0,1600
Apartamento T5 no Edifício Gemini nas Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,150.0,2600
T2 Top mesmo nos Aliados! Mobilado SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,65.0,1000
T5 Duplex e Terraço na Rua dos Bragas SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,130.0,1600
"Apartamento T4+3 com móveis, inserido em condomínio priva...",Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,310.0,12000
T1 Matosinhos Sul,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,70.0,1200
T3 centro cidade remodelado,Apartamento,30884,OLIVEIRA,GUIMARAES,BRAGA,120.0,775
"REF3122 T2 Como Novo Mobilado & Equipado, Metro Combatentes, Paranhos",Apartamento,131210,PARANHOS,PORTO,PORTO,72.0,1300
Apartamento T1 Mobilado  com Lugar de Garagem - Boavista,Apartamento,131211,RAMALDE,PORTO,PORTO,100.0,1450
T2 Arrendar - Cabra Figa em Rio de Mouro,Apartamento,111108,RIO DE MOURO,SINTRA,LISBOA,90.0,900
Alugo Apartamento T3 Vizela,Apartamento,31408,CALDAS DE VIZELA,VIZELA,BRAGA,93.0,800
Alugo T3 Montijo,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,105.0,1300
Apartamento T5 | Arrendamento | Renovado | Boavista | Garagem | Arrumo,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,230.0,3000
Apartamento T2 em Alvalade,Apartamento,110654,ALVALADE,LISBOA,LISBOA,100.0,1600
2 Quartos para arrendar,Apartamento,111513,AGUAS LIVRES,AMADORA,LISBOA,90.0,450
"Loft T2 em Lisboa de 286,00 m2",Apartamento,110621,MARVILA,LISBOA,LISBOA,286.0,6900
Moradia T1 à Estação de Rio Tinto,Moradia,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,50.0,700
"Apartamento T5 para arrendamento no Edifício Infinity, em...",Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,274.0,15000
Moradia T6 de Luxo na Quinta da Beloura,Moradia,111128,SINTRA,SINTRA,LISBOA,847.0,15000
Moradia T6 para arrendamento,Moradia,110508,CASCAIS,CASCAIS,LISBOA,521.0,15000
Moradia Unifamiliar ainda em fase de remodelação na Lapa.,Moradia,110660,ESTRELA,LISBOA,LISBOA,456.0,15000
"Moradia de luxo para arrendamento na Rua da Arriaga com jardim, elevad",Moradia,110660,ESTRELA,LISBOA,LISBOA,670.0,15000
Moradia T4 na Costa da Guia em Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,206.0,15000
Moradia T6 para arrendamento no centro do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,340.0,15000
Apartamento T4 de luxo no Estoril Sol,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,190.0,15000
Moradia Isolada T4+1 - Cascais.,Moradia,110508,CASCAIS,CASCAIS,LISBOA,210.0,15000
Excelente Moradia V5 Isolada Com Piscina e Jardim em Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,383.0,15000
"Para Arrendar | Moradia T6 | Estoril, Cascais",Moradia,110508,CASCAIS,CASCAIS,LISBOA,330.0,15000
"Moradia Geminada, em condomínio fechado, com vista mar - ...",Moradia,110507,CARCAVELOS,CASCAIS,LISBOA,298.0,15000
"SEM FIADOR. Ao metro Marquês, mobilado e equipado",Apartamento,131210,PARANHOS,PORTO,PORTO,40.0,850
T1 ao metro Mobilado SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,55.0,900
T2 Aceita animal doméstico. Ao metro com elevador,Apartamento,131217,CEDOFEITA,PORTO,PORTO,75.0,1200
"Apartamento T2 Arrendamento em São João Baptista,Entroncamento",Apartamento,141001,SAO JOAO BAPTISTA,ENTRONCAMENTO,SANTAREM,87.0,650
Para Arrendamento - Moradia de 4 Pisos na Portela de Sintra,Moradia,111128,SINTRA,SINTRA,LISBOA,168.0,2100
Apartamento T2 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,120.0,4900
Apartamento T3 para arrendamento,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,151.9,2100
MORADIA T4 de 3 frentes – Garagem 2 carros – Terraço e jardim - Leça d,Moradia,130812,MATOSINHOS,MATOSINHOS,PORTO,272.0,3500
"Apartamento T1Kit,  no empreendimento Asprela Urban, junto ao Hospital",Apartamento,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,58.0,950
Apartamento T0+1 no Centro de Matosinhos - Arrendamento,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,55.3,1295
Apartamento T3 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,160.0,2900
"Apartamento T2 novo, localizado na zona histórica de Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,80.0,1250
Apartamento T3 para arrendamento,Apartamento,110611,CARNIDE,LISBOA,LISBOA,92.0,1750
Apartamento T0 novo no Centro de Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,31.0,700
"Apartamento T1 para arrendar, localizado no centro da cidade de Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,50.3,800
Apartamento T1 localizado no centro da cidade de Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,56.8,825
"Apartamento T1+1 com marquise e lugar de garagem, na Rua da Bélgica em",Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,60.0,900
"Apartamento na Avenida do Brasil 154, São Marcos, Cacém",Apartamento,111124,CACEM,SINTRA,LISBOA,90.0,1000
Apartamento T1 | Novo | Varanda | L. Garagem | Asprela | P.Univ.,Apartamento,131210,PARANHOS,PORTO,PORTO,44.9,900
T2 Ericeira com Suite.Garagem.Vista mar,Apartamento,110906,ERICEIRA,MAFRA,LISBOA,112.0,1790
Apartamento T2 mobilado na Marginal da Figueira da Foz [c...,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,83.0,800
"T2 totalmente mobilado, junto do metro, comércio e escolas",Moradia,130408,RIO TINTO,GONDOMAR,PORTO,60.0,780
Moradia T6+1 para arrendamento junto ao Golf do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,310.0,15000
Apartamento Oriente para Arendar,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500
Moradia T5 para arrendamento com jardim e piscina no Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,346.54,15000
"Casa / Villa T6 em Lisboa de 670,00 m2",Moradia,110660,ESTRELA,LISBOA,LISBOA,670.0,15000
T1 Baixa Porto despesas incluidas,Apartamento,131217,CEDOFEITA,PORTO,PORTO,40.0,1000
"Casa T5 em Lisboa de 890,00 m2",Moradia,110658,BELEM,LISBOA,LISBOA,890.0,15000
"Apartamento T3 , semi mobilado",Apartamento,111610,RAMADA,ODIVELAS,LISBOA,120.0,1300
Moradia T10 com jardim situada no Restelo,Moradia,110658,BELEM,LISBOA,LISBOA,720.0,15000
T3 Mobilado - São Domingos,Apartamento,141633,SANTAREM,SANTAREM,SANTAREM,90.0,1500
"Moradia, 55 m², Alcântara",Moradia,110602,ALCANTARA,LISBOA,LISBOA,55.0,950
"Moradia Isolada T4 - Quinta da Pedra, Guia",Moradia,110508,CASCAIS,CASCAIS,LISBOA,206.0,15000
"Ericeira - Apt T2 com piscina, vista mar e garagem",Apartamento,110906,ERICEIRA,MAFRA,LISBOA,100.0,1390
"Apartamento T0 Arrendamento em Matosinhos e Leça da Palmeira,Matosinho",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,43.0,900
"Arrendamento de Apartamento T1 novo, Cedofeita, Bairro das Artes.",Apartamento,131217,CEDOFEITA,PORTO,PORTO,30.0,950
Apartamento T2 para arrendamento,Apartamento,131210,PARANHOS,PORTO,PORTO,101.0,1500
Duplex T2 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,119.2,2000
"Moradia T4+1 em banda muito ampla, situada em Oeiras, num local privil",Moradia,111014,OEIRAS,OEIRAS,LISBOA,240.0,2900
"Apartamento T3, novo, com garagem e varanda no Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,116.95,1950
"Apartamento T2 Arrendamento em Ramalde,Porto",Apartamento,131211,RAMALDE,PORTO,PORTO,102.0,1600
Moradia T4 para arrendamento,Moradia,150804,QUINTA DO ANJO,PALMELA,SETUBAL,178.0,3950
Apartamento T0 para arrendamento,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,57.0,1250
Apartamento com 143m2 nas Torres do Restelo com garagem,Apartamento,110658,BELEM,LISBOA,LISBOA,143.0,4500
Apartamento T3 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,91.15,3500
T0 totalmente renovado no centro de Sintra - Estefânia,Apartamento,111128,SINTRA,SINTRA,LISBOA,70.0,1100
T0 totalmente renovado no centro de Sintra - Estefânia,Apartamento,111128,SINTRA,SINTRA,LISBOA,60.0,950
"Moradia T5, com piscina e jardim, em Vale do Lobo, Algarve",Moradia,80801,ALMANCIL,LOULE,FARO,353.0,14000
Moradia Luxo T5 Biscaia - Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,245.0,14000
"Apartamento T3 com ou sem móveis, novo a estrear, no empr...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,178.0,13900
Moradia T4+1 mobilada para arrendar em Birre - Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,280.0,13000
Apartamento T3 junto ao Parque da Devesa,Apartamento,31250,ANTAS,VILA NOVA DE FAMALICAO,BRAGA,133.0,850
Moradia T4 para arrendamento,Moradia,10924,SANGUEDO,SANTA MARIA DA FEIRA,AVEIRO,180.0,1750
Arrendo T3 S. Martinho do Bispo Coimbra,Apartamento,60518,MOINHOS DA GANDARA,FIGUEIRA DA FOZ,COIMBRA,170.0,700
T2 Jardim Público da Cidade,Apartamento,50335,COVILHA,COVILHA,CASTELO BRANCO,90.0,650
Arrenda-se Moradia - Ericeira,Moradia,110906,ERICEIRA,MAFRA,LISBOA,1300.0,3380
Apartamento T2 ótimo estado,Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,69.0,700
Triplex para arrendar Arroios,Apartamento,110656,ARROIOS,LISBOA,LISBOA,130.0,3250
"Fantástico apartamento T1 duplex sem móveis, em condomíni...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,60.0,1550
Excelente apartamento com 3 assoalhadas Mobilado e equipado em Almada,Apartamento,150312,ALMADA,ALMADA,SETUBAL,68.0,1300
"Apartamento Avenida da Republica, Matosinhos",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,47.53,800
"T2 Carnide, Lisboa",Apartamento,110611,CARNIDE,LISBOA,LISBOA,71.0,1300
Excelente T2 junto ao Estadio da Luz,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,100.0,2000
T0 totalmente renovado no centro de Sintra - Estefânia,Apartamento,111128,SINTRA,SINTRA,LISBOA,60.0,900
"Apartamento T3 para arrendamento no 14º andar da Flower Tower , em Leç",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,87.41,1750
"Moradia no condomínio fechado ""Casas das Vinhas"" Bombarral-Carvalhal",Moradia,100506,BOMBARRAL,BOMBARRAL,LEIRIA,155.0,1900
T2 Mobilado Benfica/ Colombo,Apartamento,110608,BENFICA,LISBOA,LISBOA,90.0,1600
"""Arrendamento Exclusivo: Conforto e Charme na Quinta da Beloura, entre",Apartamento,111128,SINTRA,SINTRA,LISBOA,70.0,1500
Excelente moradia T4 totalmente renovada em São João do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,110.0,3000
